iter	Passed	Remaining
0	110	66027
1	149	44562
2	187	37252
3	225	33636
4	261	31112
5	303	30083
6	347	29420
7	384	28455
8	422	27733
9	462	27293
10	502	26880
11	542	26602
12	580	26226
13	620	25954
14	656	25612
15	693	25329
16	731	25076
17	767	24812
18	803	24578
19	841	24400
20	877	24201
21	915	24047
22	951	23867
23	987	23703
24	1027	23622
25	1063	23472
26	1098	23317
27	1135	23198
28	1171	23062
29	1208	22968
30	1246	22870
31	1281	22739
32	1314	22584
33	1349	22460
34	1387	22395
35	1423	22303
36	1462	22253
37	1499	22182
38	1535	22090
39	1572	22011
40	1609	21943
41	1643	21830
42	1678	21741
43	1716	21689
44	1756	21664
45	1792	21590
46	1827	21498
47	1864	21445
48	1899	21364
49	1935	21295
50	1971	21218
51	2000	21082
52	2039	21044
53	2073	20966
54	2109	20904
55	2147	20858
56	2180	20776
57	2213	20686
58	2251	20640
59	2286	20574
60	2321	20513
61	2357	20461
62	2389	20368
63	2425	20315
64	2462	20270
65	2497	20205
66	2538	20191
67	2575	20147
68	2611	20094
69	2644	20023
70	2685	20007
71	2721	19956
72	2754	19882
73	2789	19830
74	2831	19820
75	2868	19777
76	2905	19737
77	2943	19697
78	2980	19653
79	3014	19596
80	3051	19554
81	3087	19503
82	3125	19469
83	3162	19425
84	3198	19377
85	3236	19344
86	3273	19302
87	3312	19272
88	3348	19224
89	3387	19195
90	3425	19160
91	3458	19096
92	3491	19033
93	3530	19002
94	3569	18975
95	3607	18938
96	3639	18873
97	3680	18850
98	3714	18797
99	3745	18725
100	3786	18707
101	3826	18680
102	3861	18634
103	3898	18594
104	3938	18568
105	3974	18522
106	4014	18498
107	4053	18467
108	4090	18425
109	4127	18385
110	4164	18346
111	4199	18298
112	4233	18246
113	4268	18197
114	4307	18168
115	4345	18133
116	4385	18102
117	4422	18063
118	4459	18023
119	4494	17976
120	4531	17937
121	4569	17904
122	4603	17853
123	4633	17787
124	4674	17761
125	4711	17724
126	4751	17696
127	4790	17665
128	4826	17624
129	4869	17603
130	4908	17573
131	4947	17540
132	4983	17499
133	5018	17452
134	5053	17407
135	5096	17386
136	5135	17357
137	5170	17310
138	5202	17254
139	5238	17211
140	5276	17176
141	5315	17144
142	5349	17096
143	5383	17047
144	5422	17013
145	5458	16972
146	5494	16931
147	5533	16899
148	5572	16868
149	5611	16833
150	5647	16793
151	5685	16758
152	5724	16723
153	5764	16693
154	5799	16650
155	5831	16597
156	5866	16551
157	5907	16527
158	5942	16480
159	5981	16448
160	6015	16402
161	6055	16372
162	6107	16373
163	6149	16349
164	6185	16306
165	6225	16275
166	6265	16245
167	6303	16209
168	6339	16168
169	6374	16124
170	6414	16092
171	6456	16065
172	6492	16024
173	6528	15984
174	6566	15948
175	6605	15913
176	6643	15876
177	6680	15837
178	6719	15804
179	6754	15761
180	6791	15722
181	6823	15672
182	6857	15625
183	6893	15586
184	6929	15543
185	6968	15511
186	7005	15472
187	7044	15437
188	7085	15409
189	7127	15380
190	7168	15351
191	7207	15314
192	7243	15275
193	7276	15227
194	7312	15187
195	7350	15150
196	7383	15103
197	7420	15065
198	7457	15028
199	7500	15000
200	7535	14958
201	7573	14921
202	7608	14879
203	7641	14833
204	7676	14790
205	7710	14747
206	7742	14700
207	7778	14660
208	7822	14634
209	7862	14601
210	7906	14577
211	7941	14533
212	7977	14494
213	8015	14458
214	8055	14425
215	8096	14392
216	8135	14359
217	8173	14322
218	8211	14285
219	8248	14247
220	8282	14203
221	8320	14166
222	8358	14130
223	8395	14092
224	8434	14058
225	8471	14019
226	8514	13991
227	8553	13954
228	8589	13916
229	8629	13881
230	8668	13846
231	8705	13808
232	8745	13774
233	8786	13742
234	8831	13717
235	8869	13679
236	8924	13669
237	8964	13634
238	9003	13599
239	9044	13567
240	9086	13535
241	9131	13509
242	9173	13477
243	9210	13438
244	9252	13406
245	9294	13375
246	9329	13333
247	9372	13303
248	9410	13264
249	9443	13220
250	9480	13181
251	9518	13143
252	9557	13109
253	9592	13067
254	9631	13030
255	9668	12991
256	9707	12955
257	9746	12919
258	9783	12881
259	9818	12839
260	9857	12803
261	9897	12769
262	9936	12731
263	9971	12691
264	10007	12651
265	10045	12613
266	10076	12566
267	10114	12530
268	10151	12491
269	10193	12458
270	10230	12420
271	10270	12384
272	10299	12336
273	10333	12295
274	10366	12251
275	10404	12213
276	10436	12169
277	10474	12131
278	10510	12092
279	10547	12054
280	10582	12014
281	10619	11975
282	10651	11931
283	10691	11896
284	10729	11858
285	10764	11817
286	10796	11775
287	10829	11731
288	10863	11690
289	10900	11652
290	10940	11617
291	10972	11573
292	11008	11534
293	11044	11494
294	11074	11450
295	11114	11414
296	11147	11372
297	11186	11336
298	11218	11293
299	11250	11250
300	11285	11210
301	11316	11166
302	11347	11123
303	11384	11085
304	11422	11047
305	11463	11014
306	11500	10975
307	11535	10936
308	11570	10896
309	11604	10855
310	11641	10817
311	11675	10777
312	11706	10733
313	11738	10692
314	11773	10652
315	11805	10609
316	11840	10570
317	11869	10525
318	11907	10488
319	11941	10449
320	11972	10405
321	12005	10365
322	12042	10327
323	12077	10288
324	12106	10244
325	12147	10209
326	12185	10173
327	12217	10131
328	12249	10090
329	12287	10053
330	12320	10012
331	12353	9971
332	12390	9934
333	12424	9894
334	12459	9856
335	12495	9818
336	12531	9779
337	12566	9740
338	12597	9698
339	12633	9661
340	12667	9621
341	12695	9577
342	12732	9540
343	12774	9506
344	12809	9468
345	12842	9427
346	12877	9388
347	12915	9352
348	12947	9311
349	12984	9274
350	13013	9231
351	13045	9191
352	13077	9150
353	13113	9112
354	13149	9074
355	13184	9036
356	13222	9000
357	13253	8959
358	13286	8919
359	13320	8880
360	13355	8841
361	13390	8803
362	13425	8765
363	13458	8725
364	13492	8686
365	13524	8647
366	13555	8606
367	13589	8567
368	13624	8529
369	13657	8490
370	13691	8451
371	13725	8412
372	13759	8373
373	13792	8334
374	13828	8297
375	13861	8257
376	13899	8221
377	13935	8184
378	13972	8147
379	14012	8112
380	14049	8075
381	14085	8038
382	14120	8000
383	14147	7958
384	14187	7922
385	14222	7885
386	14255	7846
387	14289	7807
388	14323	7769
389	14353	7728
390	14391	7692
391	14422	7652
392	14454	7613
393	14488	7574
394	14522	7537
395	14554	7497
396	14584	7457
397	14618	7419
398	14654	7382
399	14689	7344
400	14726	7308
401	14761	7270
402	14792	7231
403	14829	7194
404	14860	7155
405	14896	7117
406	14931	7080
407	14964	7042
408	15004	7007
409	15037	6968
410	15071	6930
411	15106	6893
412	15136	6853
413	15174	6817
414	15207	6779
415	15235	6738
416	15273	6702
417	15316	6668
418	15345	6628
419	15378	6590
420	15413	6553
421	15449	6516
422	15485	6479
423	15527	6445
424	15564	6408
425	15601	6372
426	15636	6335
427	15674	6299
428	15713	6263
429	15750	6226
430	15786	6190
431	15822	6153
432	15859	6116
433	15896	6080
434	15930	6042
435	15967	6006
436	15998	5967
437	16033	5930
438	16073	5894
439	16104	5856
440	16136	5818
441	16168	5779
442	16203	5742
443	16240	5706
444	16279	5670
445	16309	5631
446	16343	5594
447	16381	5557
448	16418	5521
449	16450	5483
450	16484	5446
451	16521	5409
452	16553	5371
453	16584	5333
454	16619	5296
455	16655	5259
456	16688	5221
457	16720	5183
458	16754	5146
459	16790	5110
460	16830	5074
461	16862	5036
462	16900	5000
463	16938	4964
464	16967	4926
465	17001	4888
466	17039	4852
467	17072	4815
468	17110	4779
469	17147	4742
470	17175	4704
471	17210	4667
472	17243	4629
473	17281	4593
474	17317	4557
475	17355	4521
476	17392	4484
477	17426	4447
478	17463	4411
479	17501	4375
480	17536	4338
481	17565	4300
482	17602	4263
483	17638	4227
484	17672	4190
485	17701	4152
486	17738	4115
487	17772	4078
488	17805	4041
489	17838	4004
490	17867	3966
491	17902	3929
492	17937	3893
493	17975	3857
494	18008	3820
495	18042	3783
496	18076	3746
497	18103	3707
498	18136	3670
499	18173	3634
500	18203	3597
501	18239	3560
502	18270	3523
503	18301	3485
504	18332	3448
505	18367	3412
506	18398	3374
507	18436	3338
508	18472	3302
509	18502	3265
510	18532	3227
511	18571	3191
512	18609	3155
513	18642	3119
514	18680	3083
515	18711	3046
516	18750	3010
517	18778	2972
518	18816	2936
519	18851	2900
520	18887	2863
521	18925	2827
522	18960	2791
523	19000	2755
524	19030	2718
525	19062	2681
